index,name,hemisphere,continent
7,"China,_Hong_Kong_SAR",South,Asia
8,"China,_mainland",South,Asia
9,"China,_Taiwan_Province_of",North,Asia
18,Iran_(Islamic_Republic_of),South,Asia
30,Republic_of_Korea,South,Asia
31,Russian_Federation,North,Europe
32,Saudi_Arabia,South,Asia
42,United_Arab_Emirates,South,Asia
43,United_Kingdom,North,Europe
44,United_States_of_America,North,North America
46,Viet_Nam,South,Asia
50,Bosnia_and_Herzegovina,North,Europe
52,Cabo_Verde,South,Africa
56,Congo,South,Africa
57,Costa_Rica,South,South America
58,C̫te_d'Ivoire,South,Africa
62,Czech_Republic,North,Europe
64,Dominican_Republic,South,South America
82,Republic_of_Moldova,North,Europe
84,Sao_Tome_and_Principe,South,Africa
88,Syrian_Arab_Republic,South,Asia
89,The_former_Yugoslav_Republic_of_Macedonia,North,Europe
92,Unspecified,,
93,Venezuela_(Bolivarian_Republic_of),South,South America
94,Bolivia_(Plurinational_State_of),South,South America
96,El_Salvador,South,South America
104,New_Zealand,North,Asia
105,Papua_New_Guinea,South,South America
108,South_Africa,South,Africa
109,Sri_Lanka,South,Asia
110,Sudan_(former),South,Africa
111,Trinidad_and_Tobago,South,South America
112,United_Republic_of_Tanzania,South,Africa
117,Central_African_Republic,South,Africa
125,Sierra_Leone,South,Africa
126,Aruba,South,South America
128,Netherlands_Antilles,South,South America
130,American_Samoa,South,Asia
131,Antigua_and_Barbuda,South,South America
136,Bermuda,South,South America
139,"China,_Macao_SAR",South,Asia
140,Democratic_People's_Republic_of_Korea,South,Asia
141,Democratic_Republic_of_the_Congo,South,Africa
146,Lao_People's_Democratic_Republic,South,Asia
148,Marshall_Islands,South,Asia
152,Myanmar,South,Asia
155,New_Caledonia,South,Asia
159,Saint_Lucia,South,South America
161,Solomon_Islands,South,Asia
162,Swaziland,South,Africa
163,Timor-Leste,South,Asia
169,Burkina_Faso,South,Africa
173,Falkland_Islands_(Malvinas),South,South America
174,Guam,South,Asia
176,Saint_Kitts_and_Nevis,South,South America
177,Saint_Vincent_and_the_Grenadines,South,South America
181,French_Polynesia,South,South America
185,Occupied_Palestinian_Territory,South,Asia
187,British_Virgin_Islands,South,South America
190,Cook_Islands,South,Asia
194,Niue,South,Asia
196,Equatorial_Guinea,South,Africa
197,Faroe_Islands,North,Europe
198,Montserrat,South,South America
199,Saint_Pierre_and_Miquelon,North,North America
200,Turks_and_Caicos_Islands,South,South America
201,Brunei_Darussalam,South,Asia
202,Greenland,North,Europe
204,Micronesia_(Federated_States_of),South,Asia
207,"Saint_Helena,_Ascension_and_Tristan_da_Cunha",South,Africa
209,Cayman_Islands,South,South America
210,Mayotte,South,Africa
